SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,Ring1_Positions,Ring2_Positions
O=C(COc1ccc(-c2ccccc2)cc1)Nc1cc(B(O)O)ccc1O,0.079030336,0.930196109,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
COc1cccc2c1CCC(N(C)CCCCNC(=O)c1ccc(-c3ccccc3)cc1)C2,0.132096546,0.903689096,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
Cn1c(=O)c(COc2ccc(-c3ccccc3)cc2)nc2ccccc21,0.226821035,0.855765023,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCCC(CCC)c1nc(-c2ccc(-c3ccccc3)cc2)c[nH]1,0.116492308,0.954651032,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(C)[C@H](S)C(=O)NC1(C(=O)N[C@@H](Cc2ccc(-c3ccccc3)cc2)C(=O)O)CCCC1,0.556563549,0.676112576,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
NC(N)=NCCC[C@H](NC(=O)[C@@H](N)Cc1ccc(-c2ccccc2)cc1)C(=O)NCc1ccccc1,0.502482308,0.658399326,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(-c3ccccc3)cc(-c3ccccc3)c2)CC1,0.341711779,0.88399328,single-ring-substituted,2,0,"{'ortho': 0, 'meta': 2, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(=O)N[C@@H](/C=C/C(C)=C/c1ccc(-c2ccccc2)cc1)[C@H](C)C(=O)N[C@H](C)C(=O)O,0.199639958,0.874426265,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CN(Cc1ccccc1)C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](N)CCCNC(=N)N,0.297060993,0.942933349,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(C)[C@H](CO)Nc1nc(Nc2cccc(-c3ccccc3)c2)c2ncn(C(C)C)c2n1,0.300673743,0.795052554,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(CN1CCCCC(NC(=O)c2ccc(-c3ccccc3)cc2)C1=O)Nc1ccc2c(c1)CNCC2,0.072959226,0.985260062,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(C)N1CCN(C(CN2CCN(CCCc3ccccc3-c3ccccc3)CC2)c2ccc(F)cc2)CC1,0.484095471,0.865385034,single-ring-substituted,1,0,"{'ortho': 1, 'meta': 0, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
Nc1ccccc1NC(=O)c1ccc(CNC(=O)CCCCC(=O)NCCCNCCCCNCc2ccccc2-c2ccccc2)cc1,0.436890733,0.685912479,single-ring-substituted,1,0,"{'ortho': 1, 'meta': 0, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(O)[C@H]1[C@H](CN2C(=O)c3ccccc3C2=O)CC[C@@H]1SCc1ccc(-c2ccccc2)cc1,0.196530949,0.944075232,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
