SMILEs,X1s,Y1s
C[N+](C)(C)CCC(=O)Nc1ccc2c(c1)C(=O)c1cc(NC(=O)CC[N+](C)(C)C)ccc1-2,0.123751705,0.904499771
COc1cccc2c1-c1ccc(NS(=O)(=O)c3cccs3)cc1C(c1ccccc1)O2,0.371113512,0.824074768
Cc1c(C2CCN(CCCCNC(=O)c3ccc(-c4ccc(C#N)cc4)cc3)CC2)c2ccccc2n1CCO,0.172197818,0.932951686
N#Cc1cccc(-c2ccccc2Cc2nc(-c3ccc(F)cc3)c(CC(=O)O)s2)c1,0.41530119,0.915419416
C=CCC1Oc2ccc(OCC)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3,0.22277127,0.900339385
c1ccc(CN2CCC(NCc3ccc(-c4cccc(CNC5CCCC5)c4)cc3)CC2)cc1,0.4947255,0.66732391
O=c1ccc2cnc3ccc(-c4ccc5c(c4)OCO5)cc3c2n1-c1ccc(N2CCNCC2)c(C(F)(F)F)c1,0.492142757,0.6793393
O=C(NCc1cccc2ccccc12)[C@@H]1CCCN1C(=O)c1ccc(O)c(-c2ccc(Cl)c(Cl)c2)c1,0.116643434,0.944110505
NS(=O)(=O)c1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,0.121244236,0.909655316
COc1ccc(-c2cccc(-c3cc(OC)cc(OC)c3)c2)cc1,0.176424504,0.85561458
CCOC(=O)c1c(-c2ccc(-c3ccccc3)cc2)csc1NC(=O)c1ccccc1C(=O)O,0.167317712,0.984871077
C=C(c1cccc2ccccc12)C1CCC2(CC1)COC(Nc1ccccc1-c1ccccc1)OO2,0.201525736,0.919963938
O=C(NS(=O)(=O)c1ccc(NCCSc2ccccc2)c([N+](=O)[O-])c1)c1ccc(N2CCN(Cc3ccccc3-c3ccc(Cl)cc3)CC2)cc1,0.4053785,0.860869826
Oc1nc2cc(-c3ccccc3)ccc2n1C1CCN(CC2COc3ccccc3O2)CC1,0.146530088,0.905437191
Cc1ccc(NC(=O)c2ccnc(NC3CCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,0.22010196,0.816249311
COc1cccc(-c2cccc3c2CNCC3)c1,0.272049789,0.83907123
C/N=C(/N)Nc1ccc2c(c1)Cc1cc(N/C(N)=N\C)ccc1-2,0.132044232,0.949606073
COc1cc(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)ccc1OCCN1CCCC1,0.481410278,0.747692673
O=S(=O)(c1cccc2ccccc12)N1CCN(Cc2c[nH]cn2)c2ccc(-c3ccccc3)cc2C1,0.459799209,0.800145697
c1ccc(-c2nn(-c3ccccc3)[n+](-c3ccc(-c4ccc(-[n+]5nc(-c6ccccc6)nn5-c5ccccc5)cc4)cc3)n2)cc1,0.147460088,0.991203091
CC(c1nnc(Nc2ccc(Br)cc2)[nH]1)c1ccc(-c2ccccc2)cc1F,0.126304557,0.934731156
CCN1CCC[C@H](Cn2c(-c3ccccc3C)nc3ccc(-c4ccc(Cl)cc4)cc3c2=O)C1,0.232675227,0.832363665
CCN(CC)CC(CN(CC)CC)Oc1cc2c(cc1OC)Cc1c-2n[nH]c1-c1ccc(-c2ccc(O)cc2)cc1,0.105872391,0.934742005
CCCc1nc(C)n2nc(SC)nc2c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.387192043,0.750620722
CN(C)CCCn1c2ccc(O)cc2c2c3c(c(-c4c(Cl)cccc4Cl)cc21)C(=O)NC3=O,0.431713974,0.808701447
COc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(=O)c3c(O)c(-c4cc(O)c5oc6cc(O)cc(O)c6c(=O)c5c4O)c(O)cc3oc12,0.26617802,0.848701928
CCCCOc1cc(F)c(-c2ccc(CCC(N)(CO)COP(=O)(O)O)cc2)cc1F,0.148412829,0.926680376
CCCCN1C(=O)C2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1,0.452903474,0.793747895
